"counts","number of items in equivalence class","isoforms in equivalence class"
8,3,"ENST00000278426,ENST00000524995,ENST00000533263"
8,3,"ENST00000278426,ENST00000525764,ENST00000528450"
89,2,"ENST00000278426,ENST00000528450"
2,3,"ENST00000278426,ENST00000528450,ENST00000530159"
6,4,"ENST00000278426,ENST00000528450,ENST00000530159,ENST00000533066"
11,5,"ENST00000278426,ENST00000528450,ENST00000530159,ENST00000533066,ENST00000533263"
12,3,"ENST00000278426,ENST00000528450,ENST00000533066"
14,1,"ENST00000278460"
5,2,"ENST00000278460,ENST00000378615"
5,10,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526424,ENST00000527667,ENST00000528488,ENST00000532633"
3,8,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526827,ENST00000527667"
3,10,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526827,ENST00000527667,ENST00000527784,ENST00000528488"
7,9,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526827,ENST00000527667,ENST00000534249"
6,9,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526827,ENST00000527784,ENST00000528488"
5,7,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000527667"
1,8,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000527667,ENST00000534249"
13,9,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000527667,ENST00000527784,ENST00000528488,ENST00000532633"
11,8,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525895,ENST00000526827,ENST00000527784,ENST00000528488"
78,9,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525895,ENST00000526827,ENST00000527784,ENST00000528488,ENST00000534249"
1,7,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525895,ENST00000527784,ENST00000528488"
6,8,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525895,ENST00000527784,ENST00000528488,ENST00000534249"
21,6,"ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000526424,ENST00000528488"
32,4,"ENST00000278460,ENST00000378615,ENST00000395460,ENST00000525895"
42,6,"ENST00000278460,ENST00000378615,ENST00000395460,ENST00000525895,ENST00000527784,ENST00000528488"
16,5,"ENST00000278460,ENST00000378615,ENST00000395460,ENST00000525895,ENST00000528488"
2,5,"ENST00000278460,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000528488"
25,4,"ENST00000278460,ENST00000525895,ENST00000527784,ENST00000528488"
10,2,"ENST00000278460,ENST00000534249"
330,1,"ENST00000278483"
1,2,"ENST00000278483,ENST00000528004"
250,3,"ENST00000278483,ENST00000528004,ENST00000533986"
41,2,"ENST00000278483,ENST00000533986"
8,1,"ENST00000278499"
7,3,"ENST00000278499,ENST00000416495,ENST00000536441"
7,2,"ENST00000278499,ENST00000536441"
1114,1,"ENST00000278505"
2,1,"ENST00000278520"
112,27,"ENST00000278520,ENST00000423339,ENST00000530106,ENST00000530203,ENST00000538597,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681164,ENST00000681451"
11,26,"ENST00000278520,ENST00000423339,ENST00000530106,ENST00000530203,ENST00000538597,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681164,ENST00000681451"
15,29,"ENST00000278520,ENST00000423339,ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200,ENST00000681451"
15,26,"ENST00000278520,ENST00000423339,ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681164,ENST00000681451"
15,29,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200,ENST00000681451"
10,28,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200,ENST00000681451"
20,27,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681451"
13,27,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200"
13,25,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646638,ENST00000646818,ENST00000679616,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164"
9,23,"ENST00000278520,ENST00000423339,ENST00000530203,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680979,ENST00000681014,ENST00000681164"
4,20,"ENST00000278520,ENST00000530106,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679856,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680979,ENST00000681164,ENST00000681451"
9,14,"ENST00000278520,ENST00000530106,ENST00000643839,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000681164"
8,26,"ENST00000278520,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200"
40,24,"ENST00000278520,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164"
4,25,"ENST00000278520,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681014,ENST00000681164,ENST00000681200"
40,22,"ENST00000278520,ENST00000530203,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679696,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680171,ENST00000680532,ENST00000680728,ENST00000680763,ENST00000680979,ENST00000681014,ENST00000681164"
6,3,"ENST00000278520,ENST00000644686,ENST00000645366"
1,7,"ENST00000278520,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000679708,ENST00000680532,ENST00000680763"
1,4,"ENST00000278520,ENST00000644686,ENST00000645366,ENST00000680728"
3,6,"ENST00000278520,ENST00000644686,ENST00000645366,ENST00000680728,ENST00000680763,ENST00000681451"
1,4,"ENST00000278520,ENST00000644686,ENST00000645366,ENST00000680763"
2,4,"ENST00000278520,ENST00000644686,ENST00000645366,ENST00000681451"
3,4,"ENST00000278520,ENST00000645439,ENST00000680171,ENST00000680979"
2,1,"ENST00000278544"
1,23,"ENST00000278544,ENST00000525194,ENST00000525861,ENST00000526597,ENST00000530334,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000534206,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
3,21,"ENST00000278544,ENST00000525194,ENST00000525861,ENST00000526597,ENST00000530334,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000534206,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681375,ENST00000681411,ENST00000681732"
3,20,"ENST00000278544,ENST00000525194,ENST00000525861,ENST00000526597,ENST00000530334,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000534206,ENST00000679754,ENST00000680583,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
1,20,"ENST00000278544,ENST00000525194,ENST00000525861,ENST00000526597,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000534206,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681732,ENST00000681955"
1,20,"ENST00000278544,ENST00000525194,ENST00000525861,ENST00000530334,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
8,20,"ENST00000278544,ENST00000525861,ENST00000526597,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
4,19,"ENST00000278544,ENST00000525861,ENST00000526597,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
4,13,"ENST00000278544,ENST00000525861,ENST00000530334,ENST00000531461,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681411"
3,18,"ENST00000278544,ENST00000525861,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
11,17,"ENST00000278544,ENST00000525861,ENST00000531352,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
1,14,"ENST00000278544,ENST00000526597,ENST00000531352,ENST00000531461,ENST00000532485,ENST00000533873,ENST00000534206,ENST00000679754,ENST00000679866,ENST00000680583,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
3,16,"ENST00000278544,ENST00000531352,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
46,15,"ENST00000278544,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
2,2,"ENST00000278544,ENST00000681732"
7,1,"ENST00000278550"
370,1,"ENST00000278568"
151,2,"ENST00000278568,ENST00000356341"
37,3,"ENST00000278568,ENST00000356341,ENST00000524847"
2,8,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000526968,ENST00000528592,ENST00000528633,ENST00000529248,ENST00000530617"
7,6,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000528203,ENST00000529248,ENST00000530617"
73,7,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000528592,ENST00000528633,ENST00000529248,ENST00000530617"
27,6,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000528592,ENST00000529248,ENST00000530617"
2,5,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000529248,ENST00000530617"
95,7,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000527535,ENST00000528203,ENST00000530617,ENST00000533285"
15,4,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000528203"
194,5,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000528203,ENST00000530617"
86,6,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000528203,ENST00000530617,ENST00000533285"
206,6,"ENST00000278568,ENST00000356341,ENST00000527535,ENST00000528203,ENST00000530617,ENST00000533285"
69,3,"ENST00000278568,ENST00000356341,ENST00000528203"
10,5,"ENST00000278568,ENST00000356341,ENST00000528203,ENST00000529248,ENST00000530617"
174,4,"ENST00000278568,ENST00000356341,ENST00000528203,ENST00000530617"
28,5,"ENST00000278568,ENST00000356341,ENST00000528203,ENST00000530617,ENST00000533285"
25,3,"ENST00000278568,ENST00000356341,ENST00000530617"
2,2,"ENST00000278568,ENST00000526968"
30,2,"ENST00000278568,ENST00000528203"
1,3,"ENST00000278568,ENST00000528203,ENST00000533285"
2,2,"ENST00000278568,ENST00000533285"
2262,1,"ENST00000278572"
226,14,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
2584,13,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1638,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530721,ENST00000531188,ENST00000532872"
280,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
2416,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530721,ENST00000531188,ENST00000532872"
26,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
837,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
21,14,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188"
15,13,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
32,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188"
1,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000534440"
1175,9,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
3,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
117,8,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
21,9,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
73,8,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
1,9,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188"
525,7,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
1,8,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
2,5,"ENST00000278572,ENST00000422465,ENST00000526608,ENST00000528439,ENST00000530721"
9,5,"ENST00000278572,ENST00000422465,ENST00000526608,ENST00000528847,ENST00000530721"
8,4,"ENST00000278572,ENST00000422465,ENST00000526608,ENST00000530721"
1,4,"ENST00000278572,ENST00000422465,ENST00000528439,ENST00000530721"
1,4,"ENST00000278572,ENST00000422465,ENST00000530170,ENST00000530721"
3,3,"ENST00000278572,ENST00000422465,ENST00000530721"
7,16,"ENST00000278572,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
2,15,"ENST00000278572,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1,5,"ENST00000278572,ENST00000524851,ENST00000525690,ENST00000532872,ENST00000534440"
890,14,"ENST00000278572,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
76,13,"ENST00000278572,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000531188,ENST00000532872,ENST00000534440"
2,14,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1833,13,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
208,12,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
318,11,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000531188,ENST00000532872,ENST00000534440"
1,9,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000532872,ENST00000534440"
505,12,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
151,11,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
420,11,"ENST00000278572,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1,10,"ENST00000278572,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000531188,ENST00000532872,ENST00000534440"
11,7,"ENST00000278572,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000532872,ENST00000534440"
2,3,"ENST00000278572,ENST00000526248,ENST00000528847"
2,4,"ENST00000278572,ENST00000526248,ENST00000528847,ENST00000530721"
11,10,"ENST00000278572,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
84,9,"ENST00000278572,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
14,5,"ENST00000278572,ENST00000526608,ENST00000527446,ENST00000532872,ENST00000534440"
119,8,"ENST00000278572,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
1,7,"ENST00000278572,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000531188,ENST00000532872,ENST00000534440"
6,4,"ENST00000278572,ENST00000527446,ENST00000532872,ENST00000534440"
14,6,"ENST00000278572,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872"
1,4,"ENST00000278572,ENST00000528439,ENST00000530164,ENST00000531188"
1,5,"ENST00000278572,ENST00000528439,ENST00000530164,ENST00000531188,ENST00000532872"
4,3,"ENST00000278572,ENST00000528439,ENST00000530721"
1,2,"ENST00000278572,ENST00000528847"
17,2,"ENST00000278572,ENST00000530721"
1,3,"ENST00000278572,ENST00000530721,ENST00000532872"
3,2,"ENST00000278572,ENST00000532872"
919,1,"ENST00000278590"
1076,2,"ENST00000278590,ENST00000453089"
467,3,"ENST00000278590,ENST00000453089,ENST00000528673"
834,1,"ENST00000278612"
92,2,"ENST00000278612,ENST00000527296"
29,2,"ENST00000278612,ENST00000531384"
92,1,"ENST00000278616"
28,19,"ENST00000278616,ENST00000452508,ENST00000526567,ENST00000527805,ENST00000530958,ENST00000532931,ENST00000601453,ENST00000638443,ENST00000639240,ENST00000639953,ENST00000640388,ENST00000675595,ENST00000675843,ENST00000682465,ENST00000683150,ENST00000683468,ENST00000683914,ENST00000684029,ENST00000684037"
1,18,"ENST00000278616,ENST00000452508,ENST00000526567,ENST00000527805,ENST00000530958,ENST00000532931,ENST00000601453,ENST00000638443,ENST00000639953,ENST00000640388,ENST00000675595,ENST00000675843,ENST00000682465,ENST00000683150,ENST00000683468,ENST00000683914,ENST00000684029,ENST00000684037"
8,18,"ENST00000278616,ENST00000452508,ENST00000526567,ENST00000527805,ENST00000530958,ENST00000601453,ENST00000638443,ENST00000639240,ENST00000639953,ENST00000640388,ENST00000675595,ENST00000675843,ENST00000682465,ENST00000683150,ENST00000683468,ENST00000683914,ENST00000684029,ENST00000684037"
35,6,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000529588,ENST00000675595,ENST00000675843"
13,8,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000530958,ENST00000601453,ENST00000675843,ENST00000684029,ENST00000684037"
11,7,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000530958,ENST00000675843,ENST00000684029,ENST00000684037"
50,6,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000531525,ENST00000675595,ENST00000675843"
681,5,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675595,ENST00000675843"
266,6,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675595,ENST00000675843,ENST00000684037"
20,4,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675843"
10,5,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675843,ENST00000684037"
6,4,"ENST00000278616,ENST00000452508,ENST00000531525,ENST00000675843"
3,4,"ENST00000278616,ENST00000452508,ENST00000641760,ENST00000675843"
21,4,"ENST00000278616,ENST00000452508,ENST00000675595,ENST00000675843"
443,3,"ENST00000278616,ENST00000452508,ENST00000675843"
1,2,"ENST00000278616,ENST00000527805"
2,4,"ENST00000278616,ENST00000527805,ENST00000675843,ENST00000684037"
10,2,"ENST00000278616,ENST00000675595"
1,3,"ENST00000278616,ENST00000675595,ENST00000675843"
3,2,"ENST00000278616,ENST00000675843"
796,1,"ENST00000278618"
26,3,"ENST00000278618,ENST00000524411,ENST00000525660"
59,4,"ENST00000278618,ENST00000524411,ENST00000525660,ENST00000533423"
61,3,"ENST00000278618,ENST00000524411,ENST00000533423"
227,2,"ENST00000278618,ENST00000525660"
2,2,"ENST00000278618,ENST00000533423"
115,1,"ENST00000278671"
102,6,"ENST00000278671,ENST00000535107,ENST00000535872,ENST00000538404,ENST00000544594,ENST00000545249"
17,5,"ENST00000278671,ENST00000535107,ENST00000538404,ENST00000544594,ENST00000545249"
44,4,"ENST00000278671,ENST00000535107,ENST00000538404,ENST00000545249"
75,2,"ENST00000278671,ENST00000535872"
