"counts","number of items in equivalence class","isoforms in equivalence class"
8,6,"ENST00000005082,ENST00000525313,ENST00000526601,ENST00000528218,ENST00000529228,ENST00000533036"
16,1,"ENST00000005286"
15,2,"ENST00000005286,ENST00000453848"
13,3,"ENST00000005286,ENST00000453848,ENST00000535480"
7,4,"ENST00000005286,ENST00000453848,ENST00000535480,ENST00000540112"
4,3,"ENST00000005286,ENST00000453848,ENST00000536409"
24,3,"ENST00000005286,ENST00000453848,ENST00000540112"
26,3,"ENST00000005286,ENST00000453848,ENST00000544065"
3,1,"ENST00000020926"
1,2,"ENST00000020926,ENST00000533332"
570,1,"ENST00000039989"
377,2,"ENST00000039989,ENST00000299240"
43,3,"ENST00000039989,ENST00000299240,ENST00000525029"
82,3,"ENST00000039989,ENST00000299240,ENST00000534347"
59,2,"ENST00000039989,ENST00000418561"
1312,1,"ENST00000054950"
10,3,"ENST00000054950,ENST00000527337,ENST00000528630"
109,4,"ENST00000054950,ENST00000527337,ENST00000528630,ENST00000532942"
116,3,"ENST00000054950,ENST00000527337,ENST00000532942"
62,2,"ENST00000054950,ENST00000528630"
109,4,"ENST00000054950,ENST00000530348,ENST00000532721,ENST00000532942"
69,3,"ENST00000054950,ENST00000530348,ENST00000532942"
66,2,"ENST00000054950,ENST00000532942"
367,1,"ENST00000064778"
495,2,"ENST00000064778,ENST00000356467"
86,3,"ENST00000064778,ENST00000356467,ENST00000450446"
247,1,"ENST00000064780"
310,2,"ENST00000064780,ENST00000393580"
14,3,"ENST00000064780,ENST00000393580,ENST00000544075"
49,4,"ENST00000064780,ENST00000393580,ENST00000544075,ENST00000545687"
1,3,"ENST00000064780,ENST00000393580,ENST00000545687"
9,2,"ENST00000064780,ENST00000544075"
3,3,"ENST00000064780,ENST00000544075,ENST00000545687"
12,1,"ENST00000155840"
17,2,"ENST00000155840,ENST00000335475"
7,3,"ENST00000155840,ENST00000335475,ENST00000496887"
7,3,"ENST00000155840,ENST00000335475,ENST00000526095"
7,3,"ENST00000155840,ENST00000335475,ENST00000646564"
370,1,"ENST00000164133"
36,2,"ENST00000164133,ENST00000526559"
36,3,"ENST00000164133,ENST00000526559,ENST00000532850"
26,2,"ENST00000164133,ENST00000532850"
6,1,"ENST00000164139"
7,2,"ENST00000164139,ENST00000377432"
1,1,"ENST00000176183"
5,1,"ENST00000176195"
1,2,"ENST00000198801,ENST00000526712"
163,1,"ENST00000200135"
234,2,"ENST00000200135,ENST00000535142"
75,3,"ENST00000200135,ENST00000535142,ENST00000538209"
40,1,"ENST00000227135"
94,2,"ENST00000227135,ENST00000532692"
3649,1,"ENST00000227155"
649,2,"ENST00000227155,ENST00000342935"
97,8,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525210,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000532544"
115,8,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000530601,ENST00000532544"
307,7,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000532544"
1,6,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525813,ENST00000526958,ENST00000532544"
5,5,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000526958,ENST00000532544"
4,3,"ENST00000227155,ENST00000342935,ENST00000524750"
143,3,"ENST00000227155,ENST00000342935,ENST00000525210"
2,4,"ENST00000227155,ENST00000342935,ENST00000525210,ENST00000532544"
137,7,"ENST00000227155,ENST00000342935,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000530601,ENST00000532544"
228,3,"ENST00000227155,ENST00000342935,ENST00000530601"
1311,2,"ENST00000227155,ENST00000524750"
